order_id,customer_id,product_id,quantity,order_date,delivery_address,delivery_date
1,121,1,6,2023-08-25,"91 Division Center, Suite 35",2023-08-28
2,195,2,3,2025-04-24,"00920 Nancy Pass, Apt 1591",2025-04-27
3,130,3,9,2023-12-23,"04 Lukken Circle, Suite 31",2023-12-26
4,73,4,8,2024-08-03,"4 Kingsford Lane, 20th Floor",2024-08-06
5,136,5,8,2025-06-15,"3948 Brickson Park Terrace, Room 1017",2025-06-18
6,122,6,9,2023-04-04,"732 Weeping Birch Street, Room 1826",2023-04-07
7,148,7,9,2022-08-01,"04634 Surrey Terrace, Suite 14",2022-08-04
8,81,8,3,2023-03-28,"45430 Nobel Road, PO Box 27395",2023-03-31
9,126,9,6,2024-06-08,"686 Stephen Point, PO Box 49118",2024-06-11
10,43,10,2,2023-08-09,"05 Spenser Drive, Apt 834",2023-08-12
11,90,11,3,2022-11-01,"878 Vahlen Crossing, Apt 743",2022-11-04
12,47,12,7,2022-09-03,"535 Fremont Pass, Room 1631",2022-09-06
13,133,13,4,2025-06-23,"8593 Crownhardt Center, Room 1003",2025-06-26
14,166,14,5,2023-08-04,"4557 Manitowish Center, Apt 1989",2023-08-07
15,71,15,7,2022-09-27,"679 East Plaza, PO Box 19749",2022-09-30
16,162,16,10,2024-08-24,"9066 West Road, PO Box 66620",2024-08-27
17,127,17,7,2024-08-27,"3296 Porter Park, Apt 1890",2024-08-30
18,1,18,6,2024-12-14,"5 Oakridge Alley, Suite 88",2024-12-17
19,174,19,3,2025-04-04,"39 Dorton Crossing, Apt 258",2025-04-07
20,185,20,7,2024-03-29,"55 Hanover Point, Apt 1415",2024-04-01
21,108,21,2,2025-08-26,"617 Forest Plaza, Apt 615",2025-08-29
22,16,22,6,2023-04-28,"0317 Jenna Center, Room 1234",2023-05-01
23,45,23,10,2022-11-05,"2 Tony Circle, Room 1865",2022-11-08
24,45,24,9,2024-08-30,"2652 Pleasure Terrace, Apt 1362",2024-09-02
25,13,25,4,2025-07-26,"1975 Utah Junction, 13th Floor",2025-07-29
26,150,26,8,2025-01-04,"8 Harper Avenue, 9th Floor",2025-01-07
27,184,27,4,2025-05-26,"92900 Kensington Trail, PO Box 2643",2025-05-29
28,40,28,8,2024-11-01,"13935 Marquette Hill, Apt 1746",2024-11-04
29,97,29,1,2024-09-16,"69 Crest Line Point, Suite 40",2024-09-19
30,36,30,8,2025-01-09,"40 Golf Road, 8th Floor",2025-01-12
31,68,31,4,2024-07-26,"8 Kinsman Pass, 4th Floor",2024-07-29
32,19,32,1,2024-10-29,"50742 Swallow Street, 9th Floor",2024-11-01
33,24,33,4,2025-06-02,"364 Kedzie Drive, 10th Floor",2025-06-05
34,88,34,4,2023-04-01,"80 2nd Point, Apt 534",2023-04-04
35,15,35,7,2025-04-04,"5296 Bashford Place, 12th Floor",2025-04-07
36,109,36,2,2025-01-23,"847 Arrowood Terrace, 19th Floor",2025-01-26
37,102,37,6,2023-05-21,"46 Ohio Drive, PO Box 3997",2023-05-24
38,193,38,7,2022-08-06,"3605 Dakota Court, 10th Floor",2022-08-09
39,122,39,5,2023-04-30,"4 Onsgard Road, Apt 475",2023-05-03
40,90,40,7,2024-12-11,"88 Independence Hill, 10th Floor",2024-12-14
41,179,41,1,2023-05-21,"3 Straubel Plaza, 16th Floor",2023-05-24
42,93,42,3,2024-04-12,"48218 Morrow Pass, Room 604",2024-04-15
43,167,43,7,2025-03-27,"67 Forest Circle, PO Box 71211",2025-03-30
44,32,44,2,2024-08-31,"7 Hallows Terrace, 8th Floor",2024-09-03
45,60,45,2,2022-10-02,"8 Buhler Way, Room 541",2022-10-05
46,20,46,2,2023-07-30,"55390 Express Way, PO Box 73292",2023-08-02
47,27,47,3,2024-11-06,"06 Little Fleur Street, Suite 80",2024-11-09
48,171,48,9,2023-11-09,"8123 Vermont Parkway, Room 1428",2023-11-12
49,98,49,4,2023-09-10,"78 Nevada Plaza, 11th Floor",2023-09-13
50,72,50,3,2025-01-27,"05812 Westport Pass, Apt 215",2025-01-30
51,185,51,3,2025-07-03,"13069 Hollow Ridge Parkway, Suite 27",2025-07-06
52,187,52,2,2023-05-05,"93823 Onsgard Crossing, PO Box 30104",2023-05-08
53,15,53,6,2024-04-26,"7214 Vidon Lane, PO Box 98684",2024-04-29
54,124,54,6,2023-12-21,"1018 Macpherson Point, Suite 48",2023-12-24
55,92,55,3,2023-09-15,"05 Forest Dale Way, 16th Floor",2023-09-18
56,11,56,6,2025-08-16,"0 Cordelia Junction, PO Box 81873",2025-08-19
